query_wo_tones,query,impressions,position,gg_impressions,gg_position,api_result,pv_result,pv,gg,count
msi b350m mortar,msi b350m mortar,190.3126716,,554.0,5.063176895,1.0,1.0,0,1,1
philip,philip,171.0,1.0,,,45.0,0.0,1,0,1
quat tan nhiet cpu,quạt tản nhiệt cpu,69.0,1.0,1500.0,5.965333333,173.0,0.0,1,1,1
rj 45,rj 45,389.0,1.0,,,13.0,15.0,1,0,1
tai nghe motospeed,tai nghe motospeed,144.6238895,,421.0,6.361045131,1579.0,1.0,0,1,1
tai nghe steelseries,tai nghe steelseries,157.6778272,,459.0,6.867102397,13.0,15.0,0,1,1
tp link wr940n,tp link wr940n,188.2515236,,548.0,3.083941606,126.0,0.0,0,1,1
24mp,24mp,742.0,1.0,,,2.0,4.0,1,0,1
case erosi,case erosi,3308.0,1.0,,,10.0,15.0,1,0,1
chuot khong day dell,chuột không dây dell,188.2515236,,548.0,1.680721861,1.0,18.0,0,1,1
dell inspiron 15 5570,dell inspiron 15 5570,90.0,1.0,746.0,2.451742627,4.0,19.0,1,1,1
dell inspiron 3576,Dell inspiron 3576,159.0,1.0,,,3.0,3.0,1,0,1
dxracer,dxracer,475.0,1.0,,,10.0,5.0,1,0,1
laptop hp envy,laptop hp envy,146.0,1.0,1256.0,6.256369427,10.0,9.0,1,1,1
mainboard gigabyte h110m-ds2,mainboard gigabyte h110m-ds2,168.6706169,,491.0,2.071283096,1.0,3.0,0,1,1
may tinh phong vu,may tinh phong vu,7349.366962,,35533.0,1.006770959,311.0,0.0,0,1,2
microsoft,microsoft,443.0,1.0,,,69.0,13.0,1,0,1
o cung wd,ổ cứng wd,849.0,1.0,686.0,5.997084548,98.0,101.0,1,1,1
pentium g4600,pentium g4600,61.0,1.0,673.0,3.900445765,1.0,1.0,1,1,1
ram 8gb ddr4 laptop,ram 8gb ddr4 laptop,160.4260246,,467.0,1.813704497,4.0,93.0,0,1,1
ssd 250gb,ssd 250gb,102.0,1.0,1036.0,3.19980695,11.0,9.0,1,1,1
tai nghe asus,tai nghe asus,163.0,1.0,,,6.0,6.0,1,0,1
tay cam logitech f310,tay cầm logitech f310,141.875692,,413.0,1.263922518,1.0,2.0,0,1,1
tay choi game,tay chơi game,206.1148068,,600.0,4.433333333,2219.0,0.0,0,1,1
usb 32gb kingston,usb 32gb kingston,163.1742221,,475.0,3.273684211,3.0,3.0,0,1,1
z370 aorus gaming 3,z370 aorus gaming 3,410.8555149,,1196.0,4.464046823,1.0,5.0,0,1,1
1080 ti,1080 ti,952.0,1.0,,,1.0,8.0,1,0,1
3tb,3tb,442.0,1.0,,,26.0,23.0,1,0,1
acer helios 300,acer helios 300,555.4794044,,1617.0,5.157699443,1.0,4.0,0,1,1
b360m d2v,b360m d2v,157.0,1.0,180.0,3.35,1.0,1.0,1,1,1
b360m pro4,b360m pro4,54.0,1.0,617.0,4.62560778,1.0,2.0,1,1,1
build pc tphcm,build pc tphcm,199.5878379,,581.0,5.585197935,174.0,0.0,0,1,1
chuot genius,chuột genius,177.0,1.0,1532.0,5.974543081,6.0,6.0,1,1,1
gtx1050,gtx1050,8407.0,1.0,819.0,3.706959707,22.0,27.0,1,1,1
hdd seagate,hdd seagate,540.0,1.0,277.0,1.74368231,49.0,52.0,1,1,1
loa microlab m108,loa microlab m108,547.9218615,,1595.0,5.792476489,2.0,1.0,0,1,1
logitech g102 prodigy,logitech g102 prodigy,53.0,1.0,806.0,2.867245658,1.0,1.0,1,1,1
logitech m238,logitech m238,98.0,1.0,1098.0,4.419854281,7.0,10.0,1,1,1
logitech mx anywhere 2s,logitech mx anywhere 2s,193.0608691,,562.0,6.005338078,2.0,2.0,0,1,1
sac dell,sạc dell,198.0,1.0,323.0,3.33126935,15.0,2.0,1,1,1
thung pc,thùng pc,77.0,1.0,479.0,1.959183673,2.0,1.0,1,1,1
3578,3578,493.0,1.0,,,6.0,6.0,1,0,1
ban phim co khong day,bàn phím cơ không dây,791.0,1.0,127.0,8.921259843,873.0,109.0,1,1,2
card gtx 1050ti,card gtx 1050ti,342.494104,,997.0,3.29889669,3.0,1.0,0,1,1
g413,g413,196.0,1.0,229.0,6.64628821,1.0,1.0,1,1,1
logitech c310,logitech c310,174.5105364,,508.0,2.498031496,1.0,1.0,0,1,1
main msi h110,main msi h110,258.3305579,,752.0,2.308510638,889.0,0.0,0,1,1
man hinh 27 inch,màn hình 27 inch,562.0,1.0,1530.0,5.18627451,52.0,67.0,1,1,2
newmen g10,newmen g10,251.0,1.0,1234.0,2.193679092,2.0,4.0,1,1,1
nguon,nguồn,8629.0,1.0,6444.0,2.923111846,241.0,162.0,1,1,1
server,server,1122.0,1.0,,,19.0,17.0,1,0,1
ssd laptop 120gb,ssd laptop 120gb,158.0213519,,460.0,1.576086957,1141.0,0.0,0,1,1
ssd wd green 240gb,ssd wd green 240gb,183.0986534,,533.0,3.469043152,39.0,0.0,0,1,1
canon lbp 6030,canon lbp 6030,223.2910407,,650.0,3.976923077,2.0,1.0,0,1,1
cap usb noi dai,cáp usb nối dài,228.0,1.0,173.0,2.213872832,7.0,9.0,1,1,1
cpu g5500,cpu g5500,207.8324302,,605.0,4.009917355,1.0,1.0,0,1,1
mainboard gigabyte,mainboard gigabyte,442.0,1.0,6693.0,1.5698583145,42.0,209.0,1,1,2
o ssd cho laptop,ổ ssd cho laptop,485.4003701,,1413.0,1.147912243,289.0,0.0,0,1,1
rival 300,RIVAL 300,214.0,1.0,,,1.0,0.0,1,0,1
san,san,32530.0,1.0,,,94.0,1.0,1,0,1
ssd m2,ssd m2,3502.0,1.0,7890.0,1.481242079,16.0,21.0,1,1,1
acer aspire,acer aspire,760.0,1.0,1710.0,6.706432749,9.0,11.0,1,1,1
ban phim bluetoo,ban phim bluetoo,213.0,1.0,,,2.0,6.0,1,0,1
cap usb,cáp usb,4684.0,1.0,354.0,4.189265537,89.0,74.0,1,1,1
g5400,g5400,1130.0,1.0,5069.0,3.954034326,9.0,7.0,1,1,1
geforce,geforce,353.0,1.0,,,2.0,8.0,1,0,1
laptop dang mua 2018,laptop đáng mua 2018,156.9907779,,457.0,7.573304158,603.0,0.0,0,1,1
lg 27mp59g-p,lg 27mp59g-p,176.2281598,,513.0,2.822612086,1.0,1.0,0,1,1
logitech g102,logitech g102,2441.0,1.0,22391.0,2.200080389,1.0,1.0,1,1,1
nvidia,nvidia,953.0,1.0,,,6.0,2.0,1,0,1
router wifi,router wifi,3873.240745,,11275.0,4.932239468,122.0,0.0,0,1,1
the nho 128gb samsung,thẻ nhớ 128gb samsung,155.2731545,,452.0,4.92699115,1.0,2.0,0,1,1
1703469,1703469,187.0,1.0,,,1.0,1.0,1,0,1
24mp59g-p,24mp59g-p,171.4188143,,499.0,5.825651303,1.0,0.0,0,1,1
3268,3268,239.0,1.0,,,4.0,8.0,1,0,1
ban phim fuhlen l411,bàn phím fuhlen l411,72.0,1.0,539.0,7.712430427,1.0,12.0,1,1,1
ban phim gaming,bàn phím gaming,182.0,1.0,912.0,1.10893053,21.0,36.0,1,1,1
cam,cam,244.0,1.0,,,145.0,149.0,1,0,1
ck525,ck525,207.0,1.0,323.0,4.39628483,1.0,1.0,1,1,1
dien thoai ban,điện thoại bàn,1736.0,1.0,10753.0,3.946126828,165.0,59.0,1,1,1
dien thoai ban panasonic,điện thoại bàn panasonic,118.0,1.0,858.0,8.143356643,40.0,59.0,1,1,1
element,Element,151.0,1.0,,,7.0,6.0,1,0,1
lg gram 2018,lg gram 2018,544.4866147,,1585.0,10.12807571,363.0,0.0,0,1,1
mainboard h81,mainboard h81,3923.051823,1.0,11977.0,2.8258975875,2.0,214.0,1,1,2
mainboard z370,mainboard z370,151.0,1.0,254.0,3.669291339,27.0,204.0,1,1,1
may scan,máy scan,821.0,1.0,8711.0,1.864727666,20.0,15.0,1,1,1
office,office,1571.0,1.0,,,33.0,21.0,1,0,1
p600,P600,238.0,1.0,,,3.0,3.0,1,0,1
samsung sm n950f,samsung sm n950f,142.2192167,,414.0,1.671497585,156.0,3.0,0,1,1
zidli zh7,zidli zh7,149.7767596,,436.0,1.220183486,1.0,1.0,0,1,1
b100,b100,537.0,1.0,107.0,2.906542056,1.0,1.0,1,1,1
canon mf3010,canon mf3010,189.6256223,,552.0,3.918478261,1.0,1.0,0,1,1
card mang wifi,card mạng wifi,57.0,1.0,455.0,3.47032967,1481.0,1.0,1,1,1
ddr4 8gb laptop,ddr4 8gb laptop,371.350177,,1081.0,1.840888067,6.0,13.0,0,1,1
epson,epson,1605.0,1.0,,,68.0,63.0,1,0,1
g213,g213,522.0,1.0,628.0,5.246815287,2.0,1.0,1,1,1
hp pavilion 14-ce0024tu,hp pavilion 14-ce0024tu,497.4237338,,1448.0,2.520027624,1.0,31.0,0,1,1
k40,k40,156.0,1.0,,,3.0,2.0,1,0,1
laptop dell i5,laptop dell i5,527.0,1.0,1091.0,6.081576535,7.0,14.0,1,1,1
lcd asus vz249h,lcd asus vz249h,105.0,1.0,783.0,2.081736909,2.0,1.0,1,1,1
may tinh ban dell,máy tính bàn dell,187.0,1.0,2076.0,2.639849624,71.0,264.0,1,1,1
o cung ssd cho laptop,ổ cứng ssd cho laptop,603.5728593,,1757.0,1.201028772,889.0,0.0,0,1,1
pen,Pen,256.0,1.0,,,8.0,12.0,1,0,1
razer deathadder elite,razer deathadder elite,102.0,1.0,575.0,5.793043478,79.0,1.0,1,1,1
tp-link tl-wr940n,tp-link tl-wr940n,216.4205472,,630.0,2.896825397,2.0,1.0,0,1,1
day nguon,dây nguồn,428.0,1.0,524.0,4.757633588,3.0,1.0,1,1,1
ddr4 2666,ddr4 2666,184.0,1.0,49.0,2.265306122,40.0,27.0,1,1,1
del,del,389.0,1.0,,,259.0,210.0,1,0,1
dell 7370,dell 7370,82.0,1.0,417.0,6.330935252,2.0,4.0,1,1,1
laptop dell vostro 3568,laptop dell vostro 3568,133.0,1.0,437.0,8.162471396,5.0,41.0,1,1,1
laptop hp probook,laptop hp probook,103.0,1.0,755.0,4.849006623,20.0,31.0,1,1,1
may in epson l360,máy in epson l360,51.0,1.0,1036.0,2.20995212,1.0,21.0,1,1,1
may tinh de ban,máy tính để bàn,10614.0,1.0,50309.0,3.7994923000000007,1725.0,325.0,1,1,5
o cung ssd 256gb,ổ cứng ssd 256gb,418.4130578,,1218.0,1.089490969,15.0,0.0,0,1,1
o ssd 128gb,ổ ssd 128gb,479.5604505,,1396.0,1.02722063,15.0,0.0,0,1,1
quat tan nhiet,quạt tản nhiệt,1050.0,1.0,,,2656.0,0.0,1,0,1
sea,sea,286.0,1.0,,,90.0,71.0,1,0,1
steelseries arctis 5,steelseries arctis 5,281.690236,,820.0,5.582926829,2.0,0.0,0,1,1
totolink n300rh,totolink n300rh,423.2224033,,1232.0,5.558441558,1.0,1.0,0,1,1
710,710,167.0,1.0,,,30.0,66.0,1,0,1
adaptor,adaptor,746.0,1.0,,,104.0,29.0,1,0,1
build pc choi pubg,build pc chơi pubg,165.5788948,,482.0,4.60373444,0.0,0.0,0,1,1
fac,fac,343.0,1.0,,,1.0,1.0,1,0,1
game hay 2018 pc,game hay 2018 pc,168.6706169,,491.0,7.146639511,198.0,0.0,0,1,1
hp pavilion 14-bf103tu,hp pavilion 14-bf103tu,347.3034495,,1011.0,2.853610287,1.0,31.0,0,1,1
linh kien vi tinh,linh kiện vi tính,162.4871727,,473.0,1.09385352,1535.0,0.0,0,1,1
mainboard asus h110m e,mainboard asus h110m e,241.0,1.0,,,1.0,234.0,1,0,1
may scan hp,máy scan hp,56.0,1.0,435.0,7.622988506,8.0,4.0,1,1,1
o cung hdd 500gb,ổ cứng hdd 500gb,113.0,1.0,2953.0,1.37713309,23.0,0.0,1,1,1
o dia roi,ổ đĩa rời,238.0626019,,693.0,3.767676768,860.0,0.0,0,1,1
patriot,patriot,232.0,1.0,,,17.0,13.0,1,0,1
970,970,895.0,1.0,,,3.0,9.0,1,0,1
build pc choi game,build pc chơi game,178.6328326,,520.0,2.390384615,3.0,0.0,0,1,1
gigabyte h110m,gigabyte h110m,200.0,1.0,168.0,3.261904762,2.0,5.0,1,1,1
may in laser hp,máy in laser hp,195.4655418,,569.0,4.239015817,13.0,0.0,0,1,1
tui chong soc,túi chống sốc,930.0,1.0,2578.0,7.460107123,9.0,6.0,1,1,1
usb type c,usb type c,446.0,1.0,,,23.0,23.0,1,0,1
5471,5471,544.0,1.0,60.0,2.7,3.0,3.0,1,1,1
acer nitro,acer nitro,398.0,1.0,,,8.0,10.0,1,0,1
bo cap nguon,bộ cấp nguồn,1354.0,1.0,,,101.0,27.0,1,0,2
day hdmi 5m,dây hdmi 5m,586.3966254,,1707.0,4.343292326,2014.0,0.0,0,1,1
ddr4,ddr4,5360.0,1.0,2405.0,2.836590437,198.0,203.0,1,1,1
hdmi,hdmi,13481.0,1.0,,,70.0,66.0,1,0,1
i5 7400,i5 7400,779.0,1.0,6939.0,3.763510592,6.0,10.0,1,1,1
intel core i5 8400,intel core i5 8400,186.0,1.0,1257.0,3.945107399,1.0,5.0,1,1,1
loa logitech z506,loa logitech z506,152.8684817,,445.0,3.366292135,1.0,1.0,0,1,1
logitech c922,logitech c922,234.6273551,,683.0,2.980966325,1.0,1.0,0,1,1
may tinh xach tay,máy tính xách tay,623.4972906,1.0,45833.0,5.243578416000001,2135.0,619.0,1,1,3
msi gl63,msi gl63,236.0,1.0,2844.0,4.755274262,2.0,4.0,1,1,1
nvme,nvme,605.0,1.0,,,7.0,7.0,1,0,1
panasonic,panasonic,577.0,1.0,,,95.0,78.0,1,0,1
strix,strix,441.0,1.0,,,29.0,40.0,1,0,1
tam lot chuot,tấm lót chuột,161.0,1.0,1978.0,3.169595716,2.0,0.0,1,1,1
thanh ram,thanh ram,215.0464484,,626.0,4.006389776,6.0,0.0,0,1,1
webcam logitech,webcam logitech,195.0,1.0,4538.0,3.712428383,5.0,6.0,1,1,1
402dn,402dn,154.0,1.0,182.0,2.082417582,1.0,1.0,1,1,1
8500,8500,1173.0,1.0,,,5.0,6.0,1,0,1
8600,8600,1047.0,1.0,,,4.0,4.0,1,0,1
chuot led,Chuột led,318.0,1.0,,,13.0,24.0,1,0,1
fuhlen g90,fuhlen g90,431.0,1.0,4183.0,4.419077217,3.0,2.0,1,1,1
hp 402dn,hp 402dn,409.1378915,,1191.0,4.088161209,1.0,0.0,0,1,1
intel g4400,intel g4400,72.0,1.0,814.0,3.798525799,1.0,1.0,1,1,1
laptop dell core i7,laptop dell core i7,56.0,1.0,5959.0,7.789058567,189.0,8.0,1,1,1
may nghe nhac,máy nghe nhạc,525.0,1.0,,,5.0,9.0,1,0,1
mdrzx110,MDRZX110,249.0,1.0,,,2.0,2.0,1,0,1
micro usb,micro usb,179.0,1.0,,,31.0,24.0,1,0,1
nguon acbel,nguồn acbel,183.0,1.0,426.0,3.927230047,27.0,30.0,1,1,1
o cung 4tb,ổ cứng 4tb,288.9042542,,841.0,1.087776132,28.0,0.0,0,1,1
pin cmos,pin cmos,241.0,1.0,4869.0,4.639761758,1.0,1.0,1,1,1
predator helios 300,predator helios 300,67.0,1.0,1644.0,6.890510949,1.0,4.0,1,1,1
ssd adata,ssd adata,258.0,1.0,723.0,3.634854772,10.0,11.0,1,1,1
the nho 16gb,thẻ nhớ 16gb,63.0,1.0,2580.0,8.536434109,6.0,7.0,1,1,1
21.5,21.5,168.0,1.0,,,33.0,44.0,1,0,1
chip i3 7100,chip i3 7100,178.6328326,,520.0,2.763461538,229.0,0.0,0,1,1
chuot fuhlen l102,chuột fuhlen l102,72.0,1.0,3330.0,1.16039803,1.0,1.0,1,1,1
com,com,364.0,1.0,,,34.0,171.0,1,0,1
cpu core i3 8100,cpu core i3 8100,54.0,1.0,449.0,3.305122494,1.0,6.0,1,1,1
dau doc the nho,đầu đọc thẻ nhớ,246.0,1.0,4045.0,7.294191133,170.0,7.0,1,1,1
dell 5568,dell 5568,285.0,1.0,1805.0,6.712465374,7.0,9.0,1,1,1
envy,Envy,1165.0,1.0,,,10.0,9.0,1,0,1
may in epson,máy in epson,735.0,1.0,3597.0,7.805209303,20.0,21.0,1,1,1
msi 1050,msi 1050,180.0,1.0,80.0,5.6625,1.0,12.0,1,1,1
ssd 256gb,ssd 256gb,198.0,1.0,5001.0,2.879424115,15.0,20.0,1,1,1
24mp88,24mp88,324.0,1.0,1466.0,4.060709413,1.0,2.0,1,1,1
8gb,8gb,7967.0,1.0,253.0,1.213438735,162.0,257.0,1,1,1
chip core i7,chip core i7,312.607457,,910.0,4.047252747,152.0,0.0,0,1,1
chuot logitech khong day,chuột logitech không dây,144.2803648,,420.0,3.688095238,3.0,4.0,0,1,1
core i5 7500,core i5 7500,57.0,1.0,633.0,2.906793049,1.0,1.0,1,1,1
gm300,gm300,187.0,1.0,,,6.0,1.0,1,0,1
k95,k95,276.0,1.0,,,1.0,1.0,1,0,1
lenovo ideapad 120s,lenovo ideapad 120s,196.8396405,,573.0,8.301919721,1.0,3.0,0,1,1
logitech k120,logitech k120,197.0,1.0,1383.0,2.068691251,1.0,1.0,1,1,1
logitech mk235,logitech mk235,221.2298927,,644.0,2.184782609,1.0,1.0,0,1,1
m7350,m7350,145.0,1.0,761.0,5.396846255,1.0,1.0,1,1,1
n500,n500,336.0,1.0,,,12.0,11.0,1,0,1
o dia cung,ổ đĩa cứng,260.3917059,,758.0,2.844327177,1162.0,0.0,0,1,1
pc phong vu,pc phong vũ,163.8612714,,477.0,1.018799102,484.0,3.0,0,1,1
tl-wr841n,tl-wr841n,642.7346726,,1871.0,5.061998931,1.0,1.0,0,1,1
